,City,Country,Max Temp,Lat,Lng,Hotel Name
317,Maan,PH,76.87,5.9339,124.7356,No hotel found
324,Bathsheba,BB,84.81,13.2167,-59.5167,Atlantis Hotel
328,Latung,PH,79.97,5.5,120.8833,No hotel found
339,Kununurra,AU,76.98,-15.7667,128.7333,Kununurra Country Club Resort
341,Port Blair,IN,80.64,11.6667,92.75,Andaman Ocean Breeze
344,Takoradi,GH,81.66,4.8845,-1.7554,Hillcrest
350,Huarmey,PE,78.3,-10.0681,-78.1522,Hostal Santa Rosa
351,Fare,PF,80.82,-16.7,-151.0167,hôtel Maitai Lapita Village
370,Tucupita,VE,85.93,9.0622,-62.051,Hotel salma suit
372,Matara,LK,77.92,5.9485,80.5353,Villa Palm Breeze
373,Vao,NC,76.77,-22.6667,167.4833,Nataiwatch
376,Carauari,BR,83.39,-4.8828,-66.8958,No hotel found
378,Talcahuano,CL,76.68,-36.7167,-73.1167,Club Recreativo Armada de Chile
389,Gobabis,,77.77,-22.45,18.9667,Kalahari Convention Centre Hotel
390,Ebebiyin,GQ,75.45,2.1511,11.3353,Hotel Alfonsina
392,Zamboanguita,PH,78.75,9.1025,123.1996,Residencia Tropicana/ Sunshine Bay
394,Asyut,EG,80.78,27.181,31.1837,فندق الحسين
396,Port Keats,AU,81.3,-14.25,129.55,No hotel found
397,Neuquen,AR,84.09,-38.9516,-68.0591,Hotel Argentina 307
398,Yangambi,CD,79.77,0.8102,24.4336,No hotel found
399,San Cristobal,VE,77.18,7.7669,-72.225,Terra Sur
406,Santa Isabel,BR,83.5,-23.3156,-46.2214,No hotel found
408,Alyangula,AU,78.46,-13.8483,136.4192,No hotel found
411,Grand Gaube,MU,81.37,-20.0064,57.6608,Coco Villa
413,Pandan,PH,75.06,14.0453,124.1694,No hotel found
414,Axim,GH,81.59,4.8699,-2.2405,Axim Beach Hotel
416,Pak Phanang,TH,77.22,8.3511,100.202,Pak Phanang Hotel
417,Atar,MR,83.17,20.5169,-13.0499,فندق سكليل
425,Ambanja,MG,75.2,-13.6833,48.45,Hôtel Salama Rose
429,Thinadhoo,MV,82.15,0.5333,72.9333,No hotel found
430,Puerto Colombia,CO,89.69,10.9878,-74.9547,Hotel Puerto Colombia
436,Karratha,AU,84.56,-20.7377,116.8463,Karratha International Hotel
440,Bandarbeyla,SO,77.49,9.4942,50.8122,No hotel found
441,Bhag,PK,77.07,29.0415,67.8239,No hotel found
442,Cabedelo,BR,88.47,-6.9811,-34.8339,No hotel found
445,Amapa,BR,79.14,1.0,-52.0,No hotel found
454,Koungou,YT,83.91,-12.7336,45.2042,Hôtel Trévani
465,Hatillo,PR,87.57,18.4863,-66.8254,No hotel found
467,Sibolga,ID,75.11,1.7427,98.7792,Hotel Prima Indah
468,Paranavai,BR,81.39,-23.0731,-52.4653,"Pensão Padre Cícero,"
470,Ouadda,CF,77.59,8.0777,22.4007,No hotel found
478,Rincon,US,78.91,32.296,-81.2354,No hotel found
480,Abonnema,NG,82.13,4.7084,6.7931,No hotel found
484,Rafai,CF,81.03,4.95,23.9167,No hotel found
486,Acarau,BR,82.47,-2.8856,-40.12,No hotel found
487,Nanakuli,US,75.87,21.3906,-158.1547,No hotel found
489,Tres Arroyos,AR,80.51,-38.3739,-60.2798,Andrea Hotel
491,Caranavi,BO,81.45,-15.8167,-67.55,No hotel found
492,Praya,CV,79.34,14.9215,-23.5087,Casa Sodadi
498,Isangel,VU,78.33,-19.55,169.2667,Tanna Lodge
499,Natal,BR,86.65,-5.795,-35.2094,Natal Palace Hotel
500,Tecoanapa,MX,83.21,16.5167,-98.75,No hotel found
501,Cockburn Town,TC,82.36,21.4612,-71.1419,The Salt Raker Inn
503,Osorno,CL,78.26,-40.5667,-73.15,Hotel Sonesta Osorno
504,Qandala,SO,78.22,11.472,49.8728,No hotel found
505,Gamba,GA,78.85,-2.65,10.0,No hotel found
510,Maua,BR,82.36,-23.6678,-46.4614,Go Inn Santo André
512,Tres Picos,MX,89.62,15.8667,-93.5333,Hotel Tres Picos
514,Sibut,CF,89.82,5.718,19.0739,No hotel found
517,Lekoni,GA,87.33,-1.5843,14.2591,Le rdv des chasseurs
520,Charagua,BO,89.17,-19.8,-63.2167,No hotel found
522,Sinnamary,GF,79.99,5.3833,-52.95,Hôtel du fleuve
525,Jaru,BR,86.52,-10.4389,-62.4664,Hotel avenida
526,Jacareacanga,BR,83.98,-6.2222,-57.7528,Hotel São Cristovão
528,Vilcun,CL,75.94,-38.65,-72.2333,No hotel found
530,Dolores,AR,84.47,-36.3132,-57.6792,Plaza Hotel
533,Manta,EC,83.98,-0.95,-80.7333,La Gaviota
535,Uruguaiana,BR,87.73,-29.7547,-57.0883,Casa Branca
536,Mabaruma,GY,86.0,8.2,-59.7833,Monty Brooms Hotel
540,Chirongui,YT,84.13,-12.9319,45.1483,No hotel found
541,Mount Pleasant,US,81.09,32.7941,-79.8626,Old Village Post House
543,Marabba,SD,87.85,12.35,32.1833,No hotel found
548,Caravelas,BR,82.09,-17.7125,-39.2481,Pousada dos Navegantes
550,Bowen,AU,76.12,-20.0167,148.2333,Whitsunday Sands Resort
551,Encantado,BR,85.6,-29.2361,-51.8697,No hotel found
554,Tiarei,PF,84.22,-17.5333,-149.3333,No hotel found
556,Puerto Suarez,BO,81.16,-18.95,-57.8,No hotel found
560,Kieta,PG,75.76,-6.2167,155.6333,No hotel found
569,Bonoua,CI,82.02,5.2741,-3.595,Aliekro Hôtel
570,Soyo,AO,79.81,-6.1349,12.3689,Hotel Maria Teres
571,Ipixuna,BR,79.84,-1.7625,-48.8043,No hotel found
576,Ilo,PE,79.66,-17.6394,-71.3375,Hostal Central
581,Sekoma,BW,81.95,-24.4,23.8833,No hotel found
586,Rodrigues Alves,BR,84.47,-7.738,-72.6509,No hotel found
587,Ballitoville,ZA,77.25,-29.539,31.2144,The Vineyard On Ballito
588,Marsh Harbour,BS,79.43,26.5412,-77.0636,Lofty Fig Villas
597,Nhulunbuy,AU,79.41,-12.2333,136.7667,No hotel found
598,Rurrenabaque,BO,89.26,-14.4413,-67.5278,Hostal Madidi
600,Coahuayana,MX,86.72,18.7333,-103.6833,No hotel found
604,Goundam,ML,86.13,16.4145,-3.6708,No hotel found
605,Champerico,GT,84.47,14.3,-91.9167,Hotel y Restaurante El Submarino
607,Ellisras,ZA,81.32,-23.6649,27.7443,GPS Hotel
611,Bonthe,SL,80.06,7.5264,-12.505,No hotel found
614,Labuhan,ID,76.96,-6.8844,112.2051,No hotel found
621,Edd,ER,85.73,13.9297,41.6925,No hotel found
624,Barra Do Garcas,BR,89.31,-15.89,-52.2567,Pousada Portal
625,Adre,TD,78.91,13.4667,22.2,No hotel found
627,Rio Grande,BR,77.11,-32.035,-52.0986,Hotel Vila Moura Executivo
628,Hambantota,LK,75.54,6.1241,81.1185,Oasis Aurweda Resort Hambathota
629,Chicama,PE,79.34,-7.8447,-79.1469,No hotel found
630,Pauini,BR,84.31,-7.7136,-66.9764,No hotel found
631,Delta Del Tigre,UY,84.61,-34.7633,-56.3853,No hotel found
632,Maceio,BR,87.24,-9.6658,-35.7353,Maceió Hostel e Pousada
640,Sinnar,SD,89.58,13.5691,33.5672,No hotel found
642,Alofi,NU,81.61,-19.0595,-169.9187,No hotel found
644,Itupiranga,BR,89.92,-5.1347,-49.3267,No hotel found
646,Amahai,ID,78.1,-3.3333,128.9167,No hotel found
649,Harper,LR,81.0,4.375,-7.7169,No hotel found
651,Saraland,US,78.82,30.8207,-88.0706,No hotel found
660,Poum,NC,80.17,-20.2333,164.0167,No hotel found
662,Noumea,NC,80.01,-22.2763,166.4572,Hotel Gondwana
670,Dhidhdhoo,MV,81.16,6.8833,73.1,No hotel found
671,Dwarka,IN,77.38,22.2394,68.9678,The Dwarika Hotel
674,Sambava,MG,78.37,-14.2667,50.1667,Royal Sava Hôtel
681,Kingston,JM,88.25,17.997,-76.7936,Aphrodite Hotel
684,Mahina,PF,83.97,-17.5065,-149.489,Motu Martin
