City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Kochevo,RU,2023-02-20 21:44:44,59.5994,54.3125,3.36,95,98,7.85
67,Torbay,CA,2023-02-20 21:44:44,47.6666,-52.7314,32.27,88,100,24.16
68,Klaksvik,FO,2023-02-20 21:44:45,62.2266,-6.589,41.92,76,98,17.0
69,Nueve De Julio,AR,2023-02-20 21:44:45,-35.4444,-60.8831,87.37,12,6,9.84
70,Cartagena,CO,2023-02-20 21:42:38,10.3997,-75.5144,89.22,51,20,13.8
71,Renfrew,GB,2023-02-20 21:44:46,55.872,-4.3925,51.48,89,100,12.66
72,San Francisco,US,2023-02-20 21:40:07,37.7749,-122.4194,70.61,55,75,11.01
73,Cidreira,BR,2023-02-20 21:44:47,-30.1811,-50.2056,69.75,92,100,13.6
74,Saint-Philippe,RE,2023-02-20 21:44:47,-21.3585,55.7679,83.79,90,100,25.46
75,Joshimath,IN,2023-02-20 21:44:48,30.5667,79.5667,50.04,60,100,2.95
76,Natal,BR,2023-02-20 21:44:18,-5.795,-35.2094,81.25,78,75,12.66
77,Illapel,CL,2023-02-20 21:44:48,-31.6308,-71.1653,82.29,31,50,7.36
78,Iqaluit,CA,2023-02-20 21:44:49,63.7506,-68.5145,-16.31,68,100,10.36
79,Sayyan,YE,2023-02-20 21:44:49,15.1718,44.3244,48.0,29,38,4.16
80,Upernavik,GL,2023-02-20 21:44:49,72.7868,-56.1549,-0.45,97,100,6.51
81,Port Shepstone,ZA,2023-02-20 21:44:50,-30.7414,30.455,76.15,83,51,24.54
82,Mahebourg,MU,2023-02-20 21:44:50,-20.4081,57.7,81.25,89,75,23.02
83,Carutapera,BR,2023-02-20 21:44:50,-1.195,-46.02,75.88,93,58,5.77
84,Victoria,HK,2023-02-20 21:42:43,22.2855,114.1577,64.26,76,73,11.01
85,Mogadishu,SO,2023-02-20 21:44:51,2.0371,45.3438,76.82,80,57,20.56
86,Pontes E Lacerda,BR,2023-02-20 21:44:52,-15.2261,-59.3353,74.84,84,98,2.04
87,Vestmannaeyjar,IS,2023-02-20 21:45:52,63.4427,-20.2734,37.89,59,100,2.51
88,Mercedes,AR,2023-02-20 21:45:53,-34.6515,-59.4307,83.86,16,0,11.61
89,Sorland,NO,2023-02-20 21:45:53,67.667,12.6934,33.66,68,39,9.71
90,Nurota,UZ,2023-02-20 21:45:54,40.5614,65.6886,46.71,63,3,8.32
91,Zorgo,BF,2023-02-20 21:45:54,12.2489,-0.6158,79.59,13,0,9.13
92,Matagami,CA,2023-02-20 21:45:54,49.7502,-77.6328,-5.69,65,0,5.75
